                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1714,                 3.4554,                 1.7507,                  1.382,                0.45892,                0.85417,                0.62603,                0.29093,                0.18205,                0.35706,                0.18865,                0.03408,                 1.4927,                      0,                 3.5763,                 1.2055,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1624,                 3.6612,                 1.7123,                 1.3712,                0.38352,                0.79167,                0.43341,                0.22037,                0.22074,                0.45833,                0.19078,                0.04536,                 1.0914,                      0,                 3.6342,                0.99354,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2064,                 4.0803,                  1.775,                 1.4479,                 0.4355,                0.54167,                 0.5047,                0.26937,                0.17177,                0.41667,                0.17334,                0.03969,                 1.1575,                      0,                 3.3383,                0.98037,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2499,                 4.1405,                 1.8019,                 1.4535,                0.02285,                  0.125,                0.01345,                0.00332,                0.06613,                  0.125,                0.02365,                 0.0053,                 3.0815,                      0,                 7.9295,                  2.043,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5085,                 5.2285,                 2.0166,                 1.6504,                0.01532,                0.02083,                0.03008,                0.00581,                0.00194,                0.29167,                0.00137,                0.00018,                 4.4926,                      0,                  7.937,                 3.3768,               0.000911,               0.000911,               0.000911
                     57,                 1.5632,                  4.536,                 2.0895,                  1.696,                0.06626,                 0.7495,                0.08239,                0.03289,                0.03304,                0.41667,                 0.0241,                0.00336,                 1.7313,                      0,                 5.5394,                 1.3572,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4689,                 5.7984,                 1.9946,                 1.6194,                0.08523,                0.89583,                0.11871,                0.04678,                0.04296,                0.54167,                0.05083,                0.00762,                 1.3392,                      0,                 5.0606,                 1.2886,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3366,                 3.8752,                 1.8505,                 1.4905,                 0.5558,                0.80813,                0.75422,                0.41062,                0.43497,                0.66667,                0.56873,                  0.165,                 0.9511,                      0,                 3.5781,                0.88641,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3274,                 4.0671,                 1.8234,                  1.501,                0.51326,                0.47917,                0.50395,                 0.2579,                 0.3388,                0.33333,                0.34086,                0.07789,                 1.2649,                      0,                 3.7493,                 1.0581,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3013,                 4.4194,                 1.8486,                 1.4787,                0.30627,                0.66667,                0.32683,                0.17755,                0.17505,                0.47917,                 0.1432,                0.02845,                 1.1373,                      0,                 4.2159,                 1.0023,               0.000812,               0.000812,               0.000812
