                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.65424,                 1.0451,                 1.5352,                 1.1113,                0.98698,                      1,                  0.995,                0.82649,                0.98698,                      1,                  0.995,                0.87558,                0.55052,                      0,                  3.431,                0.74819,               0.000383,               0.000383,               0.000383
                     51,                0.62342,                 1.1034,                 1.5213,                 1.1053,                0.80459,                    0.8,                0.96167,                0.77757,                0.80459,                    0.8,                0.96167,                0.81229,                0.61798,                      0,                 3.3612,                0.81311,                0.00035,                0.00035,                0.00035
                     52,                0.65462,                 1.1044,                 1.4755,                 1.1164,                0.81561,                      1,                0.92833,                0.80903,                0.81561,                      1,                0.92833,                0.83883,                 0.5409,                      0,                 3.2354,                0.77243,               0.000317,               0.000317,               0.000317
                     53,                0.62535,                 1.0633,                 1.4506,                 1.1236,                0.82561,                      1,                0.82917,                0.71974,                0.82561,                      1,                0.82917,                 0.7247,                0.52215,                      0,                 3.1332,                0.77482,               0.000284,               0.000284,               0.000284
                     54,                0.59109,                 1.0411,                 1.4964,                 1.0993,                 0.8255,                0.95302,                0.82917,                0.68991,                 0.8255,                0.95302,                0.82917,                0.67995,                0.52959,                      0,                 3.2344,                0.76141,               0.000251,               0.000251,               0.000251
                     55,                0.62513,                 1.0281,                 1.4945,                 1.1042,                0.82833,                0.96999,                  0.895,                0.73599,                0.82833,                0.96999,                  0.895,                0.73261,                0.49463,                      0,                 3.2355,                0.75556,               0.000218,               0.000218,               0.000218
                     56,                0.59559,                 1.0198,                 1.4515,                 1.0664,                      1,                0.98535,                  0.995,                0.81193,                      1,                0.98535,                  0.995,                 0.8159,                0.46411,                      0,                 3.2112,                0.74565,               0.000185,               0.000185,               0.000185
                     57,                0.67109,                 1.0848,                  1.548,                 1.1487,                0.94873,                      1,                  0.995,                0.79203,                0.94873,                      1,                  0.995,                 0.8159,                 0.4491,                      0,                 3.1552,                0.74016,               0.000152,               0.000152,               0.000152
                     58,                 0.6245,                 1.1133,                 1.4621,                 1.1075,                0.92759,                      1,                  0.995,                0.79204,                0.92759,                      1,                  0.995,                0.81591,                0.46141,                      0,                 3.1329,                0.73223,               0.000119,               0.000119,               0.000119
                     59,                0.66252,                 1.0641,                 1.5918,                 1.1037,                0.92351,                      1,                  0.995,                0.79205,                0.92351,                      1,                  0.995,                0.81592,                0.46003,                      0,                 3.1751,                0.72489,                8.6e-05,                8.6e-05,                8.6e-05
